Order_ID,Customer_ID,Product,Category,Quantity,Unit_Price,Purchase_Date,Total_Amount
1001,2063,Keyboard,accessories,1,15000,2023-11-01,15000
1002,2085,Charger,Accessories,4,1000,2023-12-26,4000
1003,2032,Tablet,ELECTRONICS,3,20000,2023-11-13,60000
1004,2087,Keyboard,accessories,4,2000,2023-05-03,8000
1005,2033,Headphones,accessories,3,1000,2023-01-09,3000
1006,2067,Mouse,Accessories,5,1000,2023-09-19,5000
1007,2018,Tablet,ELECTRONICS,3,15000,2023-03-14,45000
1008,2025,Tablet,ELECTRONICS,3,2000,2023-12-25,6000
1009,,Keyboard,accessories,5,20000,2023-08-11,100000
1010,2095,Smartphone,electronics,3,10000,2023-02-10,30000
1011,2054,Headphones,accessories,1,10000,2023-07-23,10000
1012,2058,Keyboard,accessories,1,1000,2023-09-21,1000
1013,2067,Headphones,accessories,4,,2023-11-24,
1014,,Headphones,accessories,4,,2023-06-27,
1015,2046,Mouse,Accessories,4,2000,2023-12-14,8000
1016,2024,Tablet,ELECTRONICS,2,2000,2023-11-14,4000
1017,2032,Charger,,1,20000,2023-03-25,20000
1018,2047,Mouse,Accessories,1,15000,2023-11-14,15000
1019,2086,Mouse,Accessories,2,5000,2023-04-21,10000
1020,2023,Headphones,accessories,3,10000,2023-09-08,30000
1021,2066,Monitor,Electronics,2,15000,2023-01-07,30000
1022,2027,Tablet,ELECTRONICS,3,500,2023-03-25,1500
1023,,Smartphone,electronics,5,10000,2023-07-27,50000
1024,2002,Mouse,Accessories,2,15000,2023-11-10,30000
1025,2090,Charger,Accessories,3,10000,2023-01-22,30000
1026,2017,Monitor,Electronics,4,5000,2023-01-03,20000
1027,,Monitor,Electronics,2,500,2023-05-07,1000
1028,2033,Smartphone,,4,,2023-10-24,
1029,2009,Mouse,Accessories,5,,2023-07-07,
1030,2043,Charger,Accessories,5,5000,2023-12-28,25000
1031,2048,Tablet,ELECTRONICS,1,20000,2023-01-14,20000
1032,2039,Laptop,Electronics,5,500,2023-01-12,2500
1033,2093,Charger,Accessories,3,1000,2023-03-28,3000
1034,2042,Smartphone,electronics,2,15000,2023-01-12,30000
1035,2026,Monitor,Electronics,3,500,2023-01-25,1500
1036,2099,Tablet,ELECTRONICS,,20000,2023-10-28,
1037,2050,Charger,Accessories,3,20000,2023-08-31,60000
1038,2025,Laptop,Electronics,2,5000,2023-05-02,10000
